id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
2120,railway station manager,1324,11-3071.01,transportation managers,['station master'],0.7401110053062439,1.0,http://data.europa.eu/esco/occupation/b39a74a2-37fe-4fdc-ba8e-5bbbbdce2d89
2899,airport director,1324,11-3071.01,transportation managers,"['airport manager', 'station manager']",0.7364358156919479,1.0,http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955
734,telecommunications manager,1330,11-3021.00,computer and information systems managers,na,0.739751324057579,1.0,http://data.europa.eu/esco/occupation/3ce4691e-ecea-4278-939e-b89ab01087b8
1145,ICT documentation manager,1330,15-1199.09,information technology project managers,na,0.870721560716629,1.0,http://data.europa.eu/esco/occupation/5fd2980e-22c4-4ace-a394-190c76f4f539
1476,chief technology officer,1330,11-3021.00,computer and information systems managers,na,0.7992640852928162,1.0,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f
1573,chief information officer,1330,11-3021.00,computer and information systems managers,['chief information officer'],0.8073128044605254,1.0,http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4
1668,ICT project manager,1330,15-1199.09,information technology project managers,na,0.8974263727664947,1.0,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525
1983,ICT product manager,1330,15-1199.09,information technology project managers,na,0.8843581229448318,1.0,http://data.europa.eu/esco/occupation/a79170ad-0b7b-4697-864f-1748359aa10a
2640,chief data officer,1330,11-3021.00,computer and information systems managers,na,0.7652684688568115,1.0,http://data.europa.eu/esco/occupation/e297ec12-4712-40a4-ad98-ba004cacb205
2697,ICT vendor relationship manager,1330,15-1199.09,information technology project managers,na,0.8464809745550155,1.0,http://data.europa.eu/esco/occupation/e8bbc7fd-cfa2-406f-a664-57e5024cfbc5
2770,ICT operations manager,1330,11-3021.00,computer and information systems managers,['data processing manager'],0.8456880271434783,1.0,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc
983,child care coordinator,1341,11-9031.00,"education administrators, preschool and childcare center/program",na,0.7714137613773346,1.0,http://data.europa.eu/esco/occupation/526ba8e1-fc71-4657-8d27-52f03e8ca81d
2299,nursery school head teacher,1341,25-2011.00,"preschool teachers, except special education",na,0.8465647250413895,1.0,http://data.europa.eu/esco/occupation/c269387f-a652-4880-860a-e91ef105bfb7
2879,child day care centre manager,1341,11-9031.00,"education administrators, preschool and childcare center/program",na,0.8078460335731507,1.0,http://data.europa.eu/esco/occupation/fa6bd9e9-9631-4abe-b2f8-fad7bf8a819d
878,healthcare institution manager,1342,11-9111.00,medical and health services managers,na,0.8371754109859467,1.0,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa
2759,clinical informatics manager,1342,11-9111.00,medical and health services managers,na,0.8308406412601471,1.0,http://data.europa.eu/esco/occupation/ef909843-97c6-4c48-8038-2e7aefdfcad5
2753,elderly home manager,1343,11-9111.00,medical and health services managers,['nursing home manager'],0.7340424180030822,1.0,http://data.europa.eu/esco/occupation/eea2b5c6-48d1-4612-957e-585783b3c7bb
2292,social services manager,1344,11-9151.00,social and community service managers,['social services manager'],0.8473963350057603,2.0,http://data.europa.eu/esco/occupation/c18fddf5-cfc4-4f9c-94d6-86608faaa1dd
2627,headteacher,1345,11-9032.00,"education administrators, elementary and secondary school",['headmaster'],0.8058285772800445,2.0,http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7
827,credit union manager,1346,11-3031.02,"financial managers, branch or department",['credit union manager'],0.8601306498050689,2.0,http://data.europa.eu/esco/occupation/45a28fe1-30a4-4175-af19-e451ada60858
1067,insurance agency manager,1346,11-3031.02,"financial managers, branch or department",na,0.7879174768924713,1.0,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0
1401,bank manager,1346,11-3031.02,"financial managers, branch or department","['bank manager', 'financial institution branch manager']",0.8528206020593643,2.0,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce
1755,insurance claims manager,1346,11-3031.02,"financial managers, branch or department",na,0.7659991234540939,1.0,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b
2438,pension scheme manager,1346,11-3031.00,financial managers,na,0.6982515722513198,1.0,http://data.europa.eu/esco/occupation/ceda53cd-3f1f-425b-bd1b-c4fa17254680
2455,brokerage firm director,1346,11-3031.02,"financial managers, branch or department",na,0.765950185060501,1.0,http://data.europa.eu/esco/occupation/d0e85fe6-78e3-4218-b21a-99b75438b775
401,sport administrator,1349,11-1021.00,general and operations managers,na,0.6662378817796707,1.0,http://data.europa.eu/esco/occupation/20e39113-05f5-4184-94e2-f5e8e8c8d2ea
451,library manager,1349,25-4021.00,librarians,"['library manager', 'library director']",0.8505455970764161,1.0,http://data.europa.eu/esco/occupation/24d39e12-e104-49d3-8224-8b7a5f9b99d1
539,commercial art gallery manager,1349,11-9199.00,"managers, all other",na,0.5785368502140045,1.0,http://data.europa.eu/esco/occupation/2c8a4b72-21f4-4ab1-9dbd-1cae779211b7
575,aviation communications and frequency coordination manager,1349,11-9199.00,"managers, all other",na,0.5519566833972931,1.0,http://data.europa.eu/esco/occupation/2f8acdc5-76f5-498b-9818-df075e324eaa
765,court administrator,1349,11-3011.00,administrative services managers,['court administrator'],0.8242172300815582,1.0,http://data.europa.eu/esco/occupation/3f6fc9db-18c1-45e8-819e-baf7b6cfe372
816,airside safety manager,1349,11-9199.07,security managers,na,0.6269558817148209,0.5,http://data.europa.eu/esco/occupation/44ec4c04-c2d4-4b92-bb27-e56f5b096d97
891,environmental protection manager,1349,19-2041.00,"environmental scientists and specialists, including health","['environmental safety specialist', 'environmental protection specialist']",0.8763835221529007,1.0,http://data.europa.eu/esco/occupation/4b214899-ed00-4156-b269-a23df0fb1093
1205,rescue centre manager,1349,11-9199.00,"managers, all other",na,0.606962987780571,1.0,http://data.europa.eu/esco/occupation/64b136da-aedf-48a2-96a0-72eb850bfcd0
1307,correctional services manager,1349,11-9199.00,"managers, all other",na,0.5190438568592072,1.0,http://data.europa.eu/esco/occupation/6db9eeae-aef5-4f56-913d-4650e4c720c6
1501,interpretation agency manager,1349,11-9199.00,"managers, all other",na,0.6201006263494492,1.0,http://data.europa.eu/esco/occupation/7d7ea936-a1c6-499d-9aa7-054e943b019b
1577,translation agency manager,1349,11-9199.00,"managers, all other",na,0.6040101572871208,1.0,http://data.europa.eu/esco/occupation/83588a0e-b63d-4483-a884-06f1e3a1a4be
1687,aviation surveillance and code coordination manager,1349,53-2022.00,airfield operations specialists,na,0.8079438656568527,0.5,http://data.europa.eu/esco/occupation/8c8ec7a2-adbb-4d1a-9a56-a7048d66c00b
1894,energy manager,1349,17-2199.03,energy engineers,['energy manager'],0.846524429321289,1.0,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4
