isco_code,2014,2015,2016,2017,2018,isco_minor_group,RISK_CAT
311,722.144,719.161,698.942,704.444,791.876,Physical and engineering science technicians,2
312,613.277,619.083,608.261,622.418,635.72,"Mining, manufacturing and construction supervisors",2
313,167.306,139.508,156.65,170.33,162.571,Process control technicians,2
314,54.094,54.293,43.592,54.917,37.021,Life science technicians and related associate professionals,2
315,37.073,37.741,31.949,20.541,23.682,Ship and aircraft controllers and technicians,1
321,179.444,179.359,177.953,183.85,174.34,Medical and pharmaceutical technicians,2
322,447.931,438.757,470.649,518.425,486.094,Nursing and midwifery associate professionals,2
323,1.569,4.379,5.43,7.92,1.046,Traditional and complementary medicine associate professionals,2
324,7.05,11.358,6.0,6.947,8.785,Veterinary technicians and assistants,2
325,161.6,201.037,169.009,127.166,190.99,Other health associate professionals,2
331,264.868,245.361,247.095,282.595,262.671,Financial and mathematical associate professionals,0
332,599.265,524.81,597.75,605.679,613.863,Sales and purchasing agents and brokers,0
333,164.522,189.112,197.575,191.818,200.468,Business services agents,2
334,741.447,739.885,741.609,666.072,732.008,Administrative and specialised secretaries,2
335,174.91,187.336,199.602,179.886,183.404,Regulatory government associate professionals,2
341,622.501,657.929,632.552,504.967,573.583,"Legal, social and religious associate professionals",2
342,102.6,132.048,87.906,104.063,115.65,Sports and fitness workers,2
343,133.49,144.119,175.061,138.361,159.225,"Artistic, cultural and culinary associate professionals",2
351,100.268,116.11,114.642,117.968,121.439,Information and communications technology operations and user support technicians,2
352,70.534,59.007,66.429,77.258,79.737,Telecommunications and broadcasting technicians,2
411,551.927,520.84,485.629,490.787,508.318,General office clerks,0
412,489.742,428.367,415.347,390.613,390.513,Secretaries (general),0
413,15.509,12.741,22.08,19.266,18.523,Keyboard operators,0
421,138.46,129.617,95.458,85.544,102.968,"Tellers, money collectors and related clerks",0
422,230.628,219.717,225.577,231.911,238.512,Client information workers,0
431,501.983,541.151,474.46,525.353,462.903,Numerical clerks,0
432,225.038,252.644,241.211,248.875,239.538,Material-recording and transport clerks,2
441,191.149,192.108,214.929,174.354,211.621,Other clerical support workers,2
511,48.579,50.293,24.708,34.229,49.943,"Travel attendants, conductors and guides",2
512,253.581,235.46,251.688,251.453,280.728,Cooks,2
513,228.105,250.669,237.431,225.275,219.082,Waiters and bartenders,2
514,186.074,217.302,219.041,225.507,230.672,"Hairdressers, beauticians and related workers",2
515,103.616,97.529,108.05,104.99,123.674,Building and housekeeping supervisors,2
516,198.913,217.769,178.731,254.149,232.595,Other personal services workers,2
521,59.274,51.967,60.241,51.832,55.315,Street and market salespersons,0
522,1109.009,1095.635,1143.523,1123.636,1116.349,Shop salespersons ,0
523,184.755,216.824,163.372,162.134,186.109,Cashiers and ticket clerks,0
524,168.158,172.737,183.478,206.127,230.424,Other sales workers,0
531,607.316,602.474,618.828,707.875,663.752,Child care workers and teachers' aides,2
532,538.169,516.315,533.836,576.599,616.889,Personal care workers in health services,2
541,415.367,430.002,371.378,378.232,360.262,Protective services workers,2
611,583.494,480.619,561.627,526.137,509.315,Market gardeners and crop growers,2
612,240.119,270.165,207.606,221.02,229.058,Animal producers,1
613,43.539,45.861,63.057,64.819,47.81,Mixed crop and animal producers,2
621,28.67,39.134,20.314,26.625,20.244,Forestry and related workers,2
622,18.92,11.423,27.619,26.901,12.771,"Fishery workers, hunters and trappers",1
711,517.742,524.572,501.069,499.705,512.204,Building frame and related trades workers,1
712,248.553,253.102,255.644,297.508,241.808,Building finishers and related trades workers,1
713,173.96,135.299,174.812,185.781,136.716,"Painters, building structure cleaners and related trades workers",2
721,197.328,179.366,181.217,171.46,201.69,"Sheet and structural metal workers, moulders and welders, and related workers",2
722,178.275,189.952,180.463,186.69,188.352,"Blacksmiths, toolmakers and related trades workers",2
723,301.012,278.262,278.957,270.567,296.602,Machinery mechanics and repairers,1
731,52.698,51.28,48.422,83.043,59.346,Handicraft workers,2
732,59.1,67.31,49.438,51.314,44.884,Printing trades workers,2
741,240.368,226.252,220.589,190.001,230.178,Electrical equipment installers and repairers,1
742,26.966,22.603,33.306,33.809,27.371,Electronics and telecommunications installers and repairers,2
751,252.779,257.577,261.626,257.879,227.488,Food processing and related trades workers,2
752,95.92,69.91,64.314,73.648,59.653,"Wood treaters, cabinet-makers and related trades workers",1
753,58.223,45.377,35.351,36.888,52.803,Garment and related trades workers,2
754,58.186,81.154,64.259,59.691,64.937,Other craft and related workers,2
811,18.437,16.944,15.59,10.658,8.216,Mining and mineral processing plant operators,2
812,46.336,45.757,48.761,46.068,36.996,Metal processing and finishing plant operators,2
813,44.872,39.357,47.994,44.689,41.414,Chemical and photographic products plant and machine operators,2
814,59.074,76.297,60.395,59.076,62.377,"Rubber, plastic and paper products machine operators",2
815,60.4,54.986,49.693,47.541,60.351,"Textile, fur and leather products machine operators",2
816,139.477,150.117,167.823,179.452,164.39,Food and related products machine operators,2
817,23.192,34.023,27.949,46.412,33.671,Wood processing and papermaking plant operators,2
818,281.546,255.786,294.489,315.916,252.081,Other stationary plant and machine operators,2
821,249.708,225.257,226.571,224.104,211.832,Assemblers,2
831,64.219,53.995,56.485,67.792,48.059,Locomotive engine drivers and related workers,1
832,264.779,268.105,246.769,261.492,285.152,"Car, van and motorcycle drivers",2
833,461.038,466.699,497.564,451.264,495.1,Heavy truck and bus drivers,2
834,221.525,249.627,245.628,235.877,292.996,Mobile plant operators,1
835,4.83,4.183,5.622,3.132,10.77,Ships' deck crews and related workers,2
911,1657.098,1630.799,1682.77,1710.263,1611.94,"Domestic, hotel and office cleaners and helpers",1
912,16.965,19.894,17.483,19.401,20.415,"Vehicle, window, laundry and other hand cleaning workers",1
921,1.261,4.847,4.22,1.423,7.727,"Agricultural, forestry and fishery labourers",1
931,105.809,104.404,117.289,112.634,100.754,Mining and construction labourers,2
932,19.435,23.166,30.27,19.567,14.196,Manufacturing labourers,1
933,490.979,444.74,501.863,503.97,448.54,Transport and storage labourers,2
941,158.926,193.681,206.825,230.738,180.367,Food preparation assistants,2
951,12.241,18.716,10.962,9.872,7.612,Street and related service workers,0
952,7.103,5.103,3.9,3.549,5.335,Street vendors (excluding food),0
961,47.81,43.289,40.068,72.686,59.099,Refuse workers,2
962,215.752,182.543,233.008,134.636,121.636,Other elementary workers,2
