id,occupation,isco_code,risk,prevalence,risk_category,risk_nonphysical,prevalence_nonphysical,onet_code,onet_occupation,concept_uri,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector
519,commodity broker,3324,3.562178,0.050737,High risk,3.564942,0.050737,41-3031.03,securities and commodities traders,http://data.europa.eu/esco/occupation/2af80b12-a73a-4cc2-8af1-d26a1e60738d,2,business & administration workers,2.2,accounting & financial services workers
521,textile machine operator,8152,3.538187,0.698649,Other,3.691471,0.0,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/2b136e51-154b-4cb2-8130-f73228f14b11,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
522,dog breeder,5164,3.423423,0.818131,Other,3.555012,0.120313,45-2021.00,animal breeders,http://data.europa.eu/esco/occupation/2b292d4d-1905-45ec-a7c0-1ca7b45a4162,13,animal care & husbandry workers,13.2,animal husbandry workers
524,health and safety inspector,3359,3.24552,0.75449,Other,3.336315,0.175482,29-9011.00,occupational health and safety specialists,http://data.europa.eu/esco/occupation/2b31f745-f04f-4d2c-9692-4715e1448f80,1,"technicians, construction, transport & security workers",1.1,engineering technicians
528,cashier,5230,3.647919,0.096655,High risk,3.729979,0.0,41-2011.00,cashiers,http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098,3,sales & services workers,3.4,retail & sales workers
530,meter reader,9623,3.528005,0.599802,Other,3.613275,0.29953,43-5041.00,"meter readers, utilities",http://data.europa.eu/esco/occupation/2bdf0696-776c-47e6-9259-6460af224dac,1,"technicians, construction, transport & security workers",1.1,engineering technicians
531,heat sealing machine operator,8183,3.435916,0.475199,Other,3.558735,0.0,51-9111.00,packaging and filling machine operators and tenders,http://data.europa.eu/esco/occupation/2be85651-c94a-4531-9df8-3cc56932960e,4,manufacturing workers,4.4,paper & wood manufacturing workers
533,enterprise architect,2511,3.488991,0.477314,Other,3.516329,0.185007,15-1121.00,computer systems analysts,http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
534,clothing technologist,2141,3.403718,0.562922,Other,3.484973,0.172092,17-3029.06,manufacturing engineering technologists,http://data.europa.eu/esco/occupation/2bf5169b-2c89-451a-9274-e2b4bc1f9487,8,"textile, clothing, leather & footwear manufacturing workers",8.3,clothing manufacturing workers
535,vessel steering instructor,3423,3.458119,0.573822,Other,3.507119,0.297917,25-3021.00,self-enrichment education teachers,http://data.europa.eu/esco/occupation/2c027db0-d2a6-43f0-9c4a-caff27c7c54a,7,education workers,7.1,instructors & vocational teachers
538,social security inspector,3353,3.548128,0.321449,High risk,3.587447,0.182519,13-2099.04,"fraud examiners, investigators and analysts",http://data.europa.eu/esco/occupation/2c83f279-a1d1-4c9f-a6aa-5e5ee1850e46,2,business & administration workers,2.3,"assistants, clerks & legal workers"
540,carriage driver,9332,3.397844,0.604725,Other,3.476285,0.0,53-3021.00,"bus drivers, transit and intercity",http://data.europa.eu/esco/occupation/2c90a752-43f0-483d-8f64-3ce5e4535aa8,3,sales & services workers,3.1,"food, cleaning & services workers"
541,leather measuring operator,8159,3.487109,0.640178,Other,3.614516,0.0,51-6041.00,shoe and leather workers and repairers,http://data.europa.eu/esco/occupation/2c94916d-bd7d-4855-ab89-574d2c439a63,8,"textile, clothing, leather & footwear manufacturing workers",8.1,shoe & leather manufacturing workers
542,boiler operator,8182,3.481668,0.726087,Other,3.635257,0.0,51-8021.00,stationary engineers and boiler operators,http://data.europa.eu/esco/occupation/2cad9c6f-0289-4b26-b247-e65c0089f8f4,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
546,insurance collector,4214,3.515799,0.434233,Other,3.558035,0.434233,43-3011.00,bill and account collectors,http://data.europa.eu/esco/occupation/2d32bea0-dccd-4dc5-9ea9-c51c653a46ef,2,business & administration workers,2.2,accounting & financial services workers
547,commercial director,1221,3.525315,0.138942,Other,3.542136,0.039364,11-2021.00,marketing managers,http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1,2,business & administration workers,2.4,business managers
548,spa attendant,5142,3.393771,0.626286,Other,3.465807,0.206101,39-5094.00,skincare specialists,http://data.europa.eu/esco/occupation/2d5a50c6-0bf4-45c3-805c-44d1bf1e3d12,3,sales & services workers,3.1,"food, cleaning & services workers"
550,coppersmith,7213,3.527316,0.952255,Other,3.722643,0.083581,47-2211.00,sheet metal workers,http://data.europa.eu/esco/occupation/2d6d4cb2-5d46-4d1f-939b-7f55c02c64cb,4,manufacturing workers,4.1,metal workers & machine operators
552,frame maker,7522,3.423636,0.783988,Other,3.554925,0.051381,51-7011.00,cabinetmakers and bench carpenters,http://data.europa.eu/esco/occupation/2dc86f3d-a90e-4e7a-8a94-0bd728f22d7b,4,manufacturing workers,4.3,craftspersons & carpenters
555,academic support officer,2359,3.553953,0.294974,High risk,3.601313,0.154762,11-9033.00,"education administrators, postsecondary",http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7,7,education workers,7.4,education administrators
556,animal welfare inspector,5164,3.54582,0.250193,High risk,3.643915,0.048683,33-9011.00,animal control workers,http://data.europa.eu/esco/occupation/2de007c6-3223-4cd1-9561-e8a2e16e049d,13,animal care & husbandry workers,13.1,animal care workers & trainers  
557,boatswain,8350,3.459535,0.833078,Other,3.60489,0.04306,53-5011.00,sailors and marine oilers,http://data.europa.eu/esco/occupation/2e46a2a3-4d33-469e-8d50-588cc17e6bed,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
558,aquaculture cage mooring worker,9216,3.402325,1.0,Low risk,3.59039,0.07743,45-2093.00,"farmworkers, farm, ranch, and aquacultural animals",http://data.europa.eu/esco/occupation/2e4b41dd-b63d-403d-a0ad-dd323cd3ddac,13,animal care & husbandry workers,13.3,aquaculture workers
560,biomedical scientist,3212,3.476153,0.647834,Other,3.563953,0.146265,29-2012.00,medical and clinical laboratory technicians,http://data.europa.eu/esco/occupation/2e8820ba-5b2d-4572-92a1-942dbd02a6d6,11,healthcare workers,11.2,healthcare technicians & scientists
563,sales account manager,1420,3.597477,0.544798,Other,3.664187,0.236134,11-2022.00,sales managers,http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d,3,sales & services workers,3.2,customer representatives
566,wearing apparel presser,9121,3.28551,0.885206,Low risk,3.412924,0.0,51-6021.00,"pressers, textile, garment, and related materials",http://data.europa.eu/esco/occupation/2edd910a-e53e-44ee-b8c2-09e9f9d0395b,8,"textile, clothing, leather & footwear manufacturing workers",8.3,clothing manufacturing workers
568,communication infrastructure maintainer,7422,3.486467,0.832828,Other,3.648633,0.053842,49-9052.00,telecommunications line installers and repairers,http://data.europa.eu/esco/occupation/2ef000b1-8058-4e5a-9646-c5d4e7dbfdae,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
569,book restorer,7323,3.450364,0.84478,Other,3.585748,0.080069,51-5113.00,print binding and finishing workers,http://data.europa.eu/esco/occupation/2f1380b4-b76b-489c-a3a8-cd05ed6ad392,4,manufacturing workers,4.3,craftspersons & carpenters
573,bartender,5132,3.471595,0.549918,Other,3.557598,0.039981,35-3011.00,bartenders,http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140,3,sales & services workers,3.1,"food, cleaning & services workers"
574,bingo caller,4212,3.559498,0.337276,High risk,3.629389,0.047416,39-3012.00,gaming and sports book writers and runners,http://data.europa.eu/esco/occupation/2f7f5c84-b9b3-41ea-aa5f-5997d0873141,3,sales & services workers,3.1,"food, cleaning & services workers"
576,asphalt plant operator,8114,3.442104,0.760449,Other,3.585861,0.0,51-9021.00,"crushing, grinding, and polishing machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/2fa8c1fc-e722-4985-9822-f5d8174248cf,4,manufacturing workers,4.4,paper & wood manufacturing workers
577,screw machine operator,7223,3.506343,0.676098,Other,3.646267,0.069877,51-4034.00,"lathe and turning machine tool setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/2fc8dace-d828-4af3-b0cb-e1cb73726f4b,4,manufacturing workers,4.1,metal workers & machine operators
579,bank teller,4211,3.71019,0.291687,High risk,3.758418,0.145844,43-3071.00,tellers,http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089,2,business & administration workers,2.3,"assistants, clerks & legal workers"
581,maternity support worker,3222,3.399832,0.613657,Other,3.449809,0.240039,29-9099.01,midwives,http://data.europa.eu/esco/occupation/30194ac4-93b8-4450-8a15-f6f7cbe351cb,11,healthcare workers,11.3,naturopathic & physical therapists
582,life guard,5419,3.381697,0.575233,Other,3.490323,0.147745,33-9092.00,"lifeguards, ski patrol, and other recreational protective service workers",http://data.europa.eu/esco/occupation/3025dea4-1752-40a9-9431-fd874420386f,1,"technicians, construction, transport & security workers",1.4,transport & security workers
584,oilseed presser,7514,3.435587,0.654463,Other,3.553884,0.0,51-3093.00,food cooking machine operators and tenders,http://data.europa.eu/esco/occupation/303931a2-860a-4f76-83ac-3c190d67287e,9,food & tobacco production workers,9.2,food & tobacco production operators
585,building cleaner,9112,3.376025,0.921454,Low risk,3.515713,0.14994,37-2011.00,"janitors and cleaners, except maids and housekeeping cleaners",http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397,3,sales & services workers,3.1,"food, cleaning & services workers"
594,call centre analyst,3341,3.424192,0.755725,Other,3.4573,0.309072,15-1199.08,business intelligence analysts,http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,2,business & administration workers,2.2,accounting & financial services workers
595,nitrator operator,8131,3.551761,0.636536,Other,3.68149,0.0,51-9011.00,chemical equipment operators and tenders,http://data.europa.eu/esco/occupation/30cdbb0a-4f62-4d0e-811c-72e3f95d017b,9,food & tobacco production workers,9.2,food & tobacco production operators
596,financial manager,1211,3.549063,0.293139,High risk,3.576317,0.293139,11-3031.02,"financial managers, branch or department",http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,2,business & administration workers,2.2,accounting & financial services workers
597,distillation operator,8131,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/310ad9e0-ffc9-4980-b47c-1e856a404eff,9,food & tobacco production workers,9.2,food & tobacco production operators
598,wave soldering machine operator,8212,3.499193,0.854579,Other,3.674909,0.0,51-4122.00,"welding, soldering, and brazing machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/31308b0c-a298-4802-a052-4020d22bad57,1,"technicians, construction, transport & security workers",1.1,engineering technicians
600,security guard,5414,3.565287,0.413372,High risk,3.689632,0.0,33-9032.00,security guards,http://data.europa.eu/esco/occupation/31808988-fc0a-4bc3-9e47-27216d6759f5,1,"technicians, construction, transport & security workers",1.4,transport & security workers
601,legal consultant,2619,3.471882,0.255443,Other,3.505303,0.255443,23-1011.00,lawyers,http://data.europa.eu/esco/occupation/31854d78-3615-43a4-aa3a-c597ecb20ceb,2,business & administration workers,2.3,"assistants, clerks & legal workers"
607,aquaculture cage technician,6221,3.402325,1.0,Low risk,3.59039,0.07743,45-2093.00,"farmworkers, farm, ranch, and aquacultural animals",http://data.europa.eu/esco/occupation/3206f826-7d53-4180-9797-e94ad9eaf841,13,animal care & husbandry workers,13.3,aquaculture workers
610,sugar refinery operator,8160,3.50075,0.71987,Other,3.607154,0.0,51-3092.00,food batchmakers,http://data.europa.eu/esco/occupation/3256e283-0892-4330-b9f2-6dc4aa4bd86b,9,food & tobacco production workers,9.2,food & tobacco production operators
612,utilities inspector,3119,3.399187,0.824875,Low risk,3.510596,0.295868,47-4011.00,construction and building inspectors,http://data.europa.eu/esco/occupation/3288a2fe-4934-47c8-ad0b-11b16c9cd461,1,"technicians, construction, transport & security workers",1.1,engineering technicians
613,picture archiving and communication systems administrator,3252,3.39286,0.452925,Other,3.446876,0.134994,29-2071.00,medical records and health information technicians,http://data.europa.eu/esco/occupation/32ac76f6-20a0-469e-8cac-e68634087dd3,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
615,credit manager,3312,3.590337,0.207184,High risk,3.592982,0.207184,13-2041.00,credit analysts,http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae,2,business & administration workers,2.2,accounting & financial services workers
616,printing textile technician,7322,3.51383,0.617163,Other,3.611187,0.0,51-5112.00,printing press operators,http://data.europa.eu/esco/occupation/32fcdc6f-1c8a-44e9-99b8-5519e4db4414,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
617,prison officer,5413,3.466329,0.598213,Other,3.561654,0.042505,33-3012.00,correctional officers and jailers,http://data.europa.eu/esco/occupation/3327a087-cd36-4b02-ac1b-6455f59f9312,1,"technicians, construction, transport & security workers",1.4,transport & security workers
618,bicycle mechanic,7234,3.454175,0.859481,Other,3.621881,0.0,49-3091.00,bicycle repairers,http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
622,occupational therapist,2269,3.303651,0.693068,Other,3.366414,0.190148,29-1122.00,occupational therapists,http://data.europa.eu/esco/occupation/33da5532-8c4e-4d1b-b52e-c201ee1bc7ab,11,healthcare workers,11.3,naturopathic & physical therapists
625,food analyst,3111,3.559675,0.421555,High risk,3.615432,0.064664,19-4011.02,food science technicians,http://data.europa.eu/esco/occupation/33fe4c90-c4fd-4860-bdc5-24fcab16f45a,9,food & tobacco production workers,9.3,food & tobacco production specialists
626,fisheries refrigeration engineer,3151,3.384316,0.749774,Other,3.514905,0.055807,53-5031.00,ship engineers,http://data.europa.eu/esco/occupation/340b04fd-6312-47e5-80ff-28222a343864,5,engineers & researchers,5.2,various engineers & architects
627,child care worker,5311,3.480824,0.560763,Other,3.586,0.045986,39-9011.00,childcare workers,http://data.europa.eu/esco/occupation/3413f234-6230-47a8-8cc7-2691fd54ce3a,7,education workers,7.2,teachers & childcare workers
632,cocoa press operator,8160,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/34b63359-faad-4d6a-9d4d-98c2c15b9fac,9,food & tobacco production workers,9.2,food & tobacco production operators
635,set builder,3432,3.400496,0.727682,Other,3.479817,0.19938,27-1027.00,set and exhibit designers,http://data.europa.eu/esco/occupation/34e1c889-0fd1-4d1f-aba9-3b6263ae667a,6,arts & media workers,6.1,art & media technicians
636,slaughterer,7511,3.145239,1.0,Low risk,3.291411,0.0,51-3023.00,slaughterers and meat packers,http://data.europa.eu/esco/occupation/34ec79d0-85fb-445a-a5f2-df51b70c6375,9,food & tobacco production workers,9.1,food & tobacco production workers
637,pipeline environmental project manager,2133,3.486226,0.551096,Other,3.55443,0.140877,19-2041.00,"environmental scientists and specialists, including health",http://data.europa.eu/esco/occupation/351a0eb0-a1d0-49bd-a2f8-6dc447ddf316,1,"technicians, construction, transport & security workers",1.5,environmental & agriculture workers
639,movie distributor,1324,3.480772,0.354514,Other,3.530132,0.128971,11-3071.02,storage and distribution managers,http://data.europa.eu/esco/occupation/3530b443-d2bf-4741-b771-12c77e7c6232,6,arts & media workers,6.2,"journalists, publishers & composers"
640,window installer,7115,3.414145,0.66955,Other,3.561186,0.04699,47-2031.01,construction carpenters,http://data.europa.eu/esco/occupation/353a22a7-1c55-410c-a7a7-c531692b5e50,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
642,ICT intelligent systems designer,2511,3.422209,0.639018,Other,3.464611,0.217636,15-1111.00,computer and information research scientists,http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,12,ict workers,12.3,data workers
644,knitter,7318,3.538187,0.698649,Other,3.691471,0.0,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/3562e70c-016c-455c-b949-521a367418a5,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
646,chemical engineering technician,3116,3.301207,0.662367,Other,3.371848,0.074683,17-2041.00,chemical engineers,http://data.europa.eu/esco/occupation/35bc3847-58ad-46f5-8921-e58acc2762a6,5,engineers & researchers,5.1,researchers & science technicians
647,venue programmer,3339,3.412754,0.457125,Other,3.438495,0.325808,13-1011.00,"agents and business managers of artists, performers, and athletes",http://data.europa.eu/esco/occupation/35bedc78-1c15-4db7-9c6d-c55e9b5c7b54,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
653,visual merchandiser,3432,3.509919,0.839171,Other,3.616671,0.045861,27-1026.00,merchandise displayers and window trimmers,http://data.europa.eu/esco/occupation/35eb0aa6-b40d-449d-9390-719be8912277,3,sales & services workers,3.5,wholesale merchants
654,radio technician,7422,3.386934,0.743648,Other,3.520221,0.0,49-2021.00,"radio, cellular, and tower equipment installers and repairers",http://data.europa.eu/esco/occupation/35efc04c-429a-407e-a00a-f07fd03c2743,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
655,chocolatier,7512,3.50075,0.71987,Other,3.607154,0.0,51-3092.00,food batchmakers,http://data.europa.eu/esco/occupation/35f62568-eb4e-4a09-9d83-ecc73116f94c,9,food & tobacco production workers,9.1,food & tobacco production workers
658,advanced nurse practitioner,2221,3.42818,0.544998,Other,3.515818,0.065235,29-1141.00,registered nurses,http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,11,healthcare workers,11.1,doctors & specialist therapists
660,stop-motion animator,2166,3.738221,0.469055,High risk,3.787263,0.061424,27-1014.00,multimedia artists and animators,http://data.europa.eu/esco/occupation/364d9e9f-b14c-4905-b9e5-5de623dba268,6,arts & media workers,6.3,creative managers & graphic designers
661,driller,8111,3.501965,0.787724,Other,3.68863,0.0,47-5021.00,"earth drillers, except oil and gas",http://data.europa.eu/esco/occupation/364e61ab-1631-4fe1-a170-e88797aad6f9,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians
662,coffee roaster,8160,3.472875,0.784521,Other,3.605337,0.0,51-3091.00,"food and tobacco roasting, baking, and drying machine operators and tenders",http://data.europa.eu/esco/occupation/36b11444-8634-4194-b679-ed302acdfb22,9,food & tobacco production workers,9.1,food & tobacco production workers
664,paper pulp moulding operator,8171,3.452206,0.773837,Other,3.592628,0.0,51-9196.00,"paper goods machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/3723d7a6-7e65-4735-8235-cb01fb661b2f,4,manufacturing workers,4.4,paper & wood manufacturing workers
665,fruit and vegetable picker,9211,3.385866,0.841665,Low risk,3.527743,0.159172,45-2092.02,"farmworkers and laborers, crop",http://data.europa.eu/esco/occupation/373db468-bd25-4b67-a6e0-4ac79d9a9e85,1,"technicians, construction, transport & security workers",1.5,environmental & agriculture workers
667,artistic painter,2651,3.51819,0.839786,Other,3.596445,0.132277,27-1013.00,"fine artists, including painters, sculptors, and illustrators",http://data.europa.eu/esco/occupation/374d925a-107b-4c99-bc8b-75483441f062,6,arts & media workers,6.5,fine artists
669,starch converting operator,8160,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/375a4d32-0950-45db-9d85-3fc2a86f1d85,9,food & tobacco production workers,9.2,food & tobacco production operators
670,information manager,2622,3.438854,0.639163,Other,3.494462,0.40818,25-4021.00,librarians,http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,12,ict workers,12.3,data workers
672,gaming inspector,3359,3.324676,0.517641,Other,3.365491,0.517641,33-9031.00,gaming surveillance officers and gaming investigators,http://data.europa.eu/esco/occupation/379a4f3f-4985-4764-8b2f-037946da855d,3,sales & services workers,3.2,customer representatives
673,library assistant,4411,3.64761,0.235998,High risk,3.720565,0.20165,43-4121.00,"library assistants, clerical",http://data.europa.eu/esco/occupation/37b15470-3b2d-4ae0-816c-c7c06ed15c99,12,ict workers,12.3,data workers
675,butcher,7511,3.500169,0.821874,Other,3.620184,0.083139,51-3021.00,butchers and meat cutters,http://data.europa.eu/esco/occupation/37c7880e-cfee-4c41-a41b-061682fefde3,9,food & tobacco production workers,9.1,food & tobacco production workers
681,car leasing agent,5223,3.578497,0.241128,High risk,3.651823,0.103437,41-2031.00,retail salespersons,http://data.europa.eu/esco/occupation/38395ab3-766c-4c6c-8d96-430eff19ec8d,3,sales & services workers,3.2,customer representatives
683,police detective,3355,3.414595,0.499634,Other,3.519472,0.107076,33-3021.01,police detectives,http://data.europa.eu/esco/occupation/3880e9e8-bc2b-48d9-8afc-a0f258c1c4b0,1,"technicians, construction, transport & security workers",1.4,transport & security workers
684,sport official,3422,3.322352,0.229836,Other,3.326292,0.154437,27-2023.00,"umpires, referees, and other sports officials",http://data.europa.eu/esco/occupation/388155cc-7ab8-46c7-8051-aefc7b276c84,14,social workers,14.1,social workers
686,investment adviser,2412,3.40285,0.441734,Other,3.408416,0.313069,13-2052.00,personal financial advisors,http://data.europa.eu/esco/occupation/38d9c76b-1a7b-4d65-879b-733ae7e9364e,2,business & administration workers,2.2,accounting & financial services workers
688,rental service representative,5249,3.68261,0.128359,High risk,3.732085,0.128359,41-2021.00,counter and rental clerks,http://data.europa.eu/esco/occupation/3900b684-6b4b-4133-b134-e1d129d60383,3,sales & services workers,3.2,customer representatives
689,economic policy officer,2412,3.463072,0.36252,Other,3.480964,0.175564,19-3011.00,economists,http://data.europa.eu/esco/occupation/394a4bdd-7032-4d87-89a2-9d937cebdd09,2,business & administration workers,2.5,public officials
691,forwarding manager,3331,3.55651,0.502373,Other,3.615279,0.279307,43-5011.00,cargo and freight agents,http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca,10,logistics workers,10.2,import export specialists
693,attraction operator,9629,3.684268,0.276386,High risk,3.785055,0.057303,39-3091.00,amusement and recreation attendants,http://data.europa.eu/esco/occupation/39a59c5c-4338-4480-bdc8-96328a491907,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
695,licensing officer,3354,3.550332,0.364979,High risk,3.563414,0.272785,13-1041.02,licensing examiners and inspectors,http://data.europa.eu/esco/occupation/39c89133-bd2a-45db-b3eb-529b94daeeaf,2,business & administration workers,2.3,"assistants, clerks & legal workers"
697,soap maker,8131,3.450916,0.733624,Other,3.579316,0.0,51-9051.00,"furnace, kiln, oven, drier, and kettle operators and tenders",http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,4,manufacturing workers,4.2,chemical manufacturing workers
698,community development officer,2422,3.525073,0.441979,Other,3.576205,0.121149,11-9151.00,social and community service managers,http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74,2,business & administration workers,2.5,public officials
701,ordinary seaman,8350,3.459535,0.833078,Other,3.60489,0.04306,53-5011.00,sailors and marine oilers,http://data.europa.eu/esco/occupation/3a3fac9d-323e-4ba6-989b-0e1d44e113cc,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
702,trade regional manager,1420,3.597477,0.544798,Other,3.664187,0.236134,11-2022.00,sales managers,http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f,3,sales & services workers,3.5,wholesale merchants
703,glass engraver,7316,3.427079,0.729655,Other,3.557517,0.033975,51-9194.00,etchers and engravers,http://data.europa.eu/esco/occupation/3a55bf97-a0d2-47a0-a8b3-b248d32c7969,4,manufacturing workers,4.1,metal workers & machine operators
704,social work practice educator,2310,3.423492,0.395084,Other,3.41826,0.356983,25-1113.00,"social work teachers, postsecondary",http://data.europa.eu/esco/occupation/3a55ef85-5abf-48e2-884b-5efaf881bfb1,14,social workers,14.1,social workers
705,plodder operator,8131,3.450303,0.809369,Other,3.59229,0.0,51-9041.00,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/3a67544c-919f-4051-b812-c08e69eec3fd,4,manufacturing workers,4.2,chemical manufacturing workers
706,automated optical inspection operator,7543,3.547436,0.656525,Other,3.691181,0.0,51-9061.00,"inspectors, testers, sorters, samplers, and weighers",http://data.europa.eu/esco/occupation/3a75b477-e151-40fb-9909-b3641401bfed,1,"technicians, construction, transport & security workers",1.1,engineering technicians
709,bicycle courier,9331,3.712734,0.700413,Other,3.825393,0.188902,43-5021.00,couriers and messengers,http://data.europa.eu/esco/occupation/3a959644-beed-4afc-8e57-d5068ae6a43e,1,"technicians, construction, transport & security workers",1.4,transport & security workers
710,wholesale merchant,3324,3.481715,0.355717,Other,3.487909,0.185032,13-1022.00,"wholesale and retail buyers, except farm products",http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f,3,sales & services workers,3.5,wholesale merchants
711,tourism contract negotiator,3339,3.659125,0.143634,High risk,3.730069,0.0,41-3041.00,travel agents,http://data.europa.eu/esco/occupation/3ae4fd99-814a-4d06-a7db-5ee680c22e26,3,sales & services workers,3.5,wholesale merchants
715,fisheries adviser,2132,3.581647,0.59745,Other,3.658105,0.25992,11-9013.03,aquacultural managers,http://data.europa.eu/esco/occupation/3b018148-8e92-4177-9267-5f090386f6a3,13,animal care & husbandry workers,13.3,aquaculture workers
718,kettle tender,8160,3.50075,0.71987,Other,3.607154,0.0,51-3092.00,food batchmakers,http://data.europa.eu/esco/occupation/3b46ee4d-a220-4c83-ad90-937456596889,9,food & tobacco production workers,9.1,food & tobacco production workers
719,vehicle maintenance attendant,7231,3.390518,0.59157,Other,3.487875,0.0,53-6031.00,automotive and watercraft service attendants,http://data.europa.eu/esco/occupation/3b4eb248-6b40-42fe-9d10-cba8ccfe6613,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
723,wood sander,7523,3.432102,0.77039,Other,3.584652,0.0,51-7042.00,"woodworking machine setters, operators, and tenders, except sawing",http://data.europa.eu/esco/occupation/3bdf6206-e952-4177-a17b-2a03bfee2144,4,manufacturing workers,4.3,craftspersons & carpenters
724,abrasive blasting operator,8122,3.469622,0.860954,Other,3.649064,0.0,47-2061.00,construction laborers,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,4,manufacturing workers,4.1,metal workers & machine operators
726,business service manager,1219,3.330145,0.614912,Other,3.35546,0.312646,11-3011.00,administrative services managers,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,2,business & administration workers,2.4,business managers
727,musical instrument technician,7312,3.334332,0.943576,Low risk,3.505776,0.0,49-9063.00,musical instrument repairers and tuners,http://data.europa.eu/esco/occupation/3c1b7871-87f9-427b-adcb-fe16be8f9f24,4,manufacturing workers,4.3,craftspersons & carpenters
728,air traffic controller,3154,3.495699,0.76835,Other,3.600209,0.272202,53-2021.00,air traffic controllers,http://data.europa.eu/esco/occupation/3c2da05f-eb24-41f7-8307-46c96660fee0,1,"technicians, construction, transport & security workers",1.4,transport & security workers
730,cellar operator,8160,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7,9,food & tobacco production workers,9.2,food & tobacco production operators
732,hotel porter,9621,3.694226,0.567576,Other,3.823002,0.062528,39-6011.00,baggage porters and bellhops,http://data.europa.eu/esco/occupation/3cc51201-cd20-47f8-92ad-4d5861f963cf,3,sales & services workers,3.1,"food, cleaning & services workers"
