skill_id,esco_skill,avg_new_safe_desirable,med_new_safe_desirable,significant_effect,esco_skill_category,esco_skill_subcategory
2349,perform data analysis,0.873563,1.0,True,working with computers,accessing and analysing digital data
3879,recruit employees,0.873563,1.0,True,management skills,recruiting and hiring
12924,perform resource planning,0.83908,1.0,True,information skills,calculating and estimating
13004,company policies,0.827586,0.0,True,"business, administration and law",business and administration
6665,cost management,0.816092,0.0,True,"business, administration and law",business and administration
7508,quality standards,0.793103,0.0,True,"business, administration and law",business and administration
837,use a computer,0.793103,0.0,True,working with computers,accessing and analysing digital data
12451,scientific research methodology,0.781609,0.0,True,education,education
2756,troubleshoot,0.770115,0.0,True,"communication, collaboration and creativity",solving problems
3535,adjust engineering designs,0.758621,0.0,True,"communication, collaboration and creativity",designing systems and products
2676,execute analytical mathematical calculations,0.735632,0.0,True,information skills,calculating and estimating
6292,pollution prevention,0.655172,1.0,True,"engineering, manufacturing and construction",engineering and engineering trades
3571,mathematics,0.482759,0.0,True,"natural sciences, mathematics and statistics",mathematics and statistics
6752,statistics,0.436782,0.0,True,"natural sciences, mathematics and statistics",mathematics and statistics
5942,environmental legislation,0.425287,0.0,True,"business, administration and law",law
1705,engineering principles,0.390805,0.0,True,"engineering, manufacturing and construction",engineering and engineering trades
6117,engineering processes,0.333333,0.0,True,"engineering, manufacturing and construction",engineering and engineering trades
4921,contract law,0.333333,0.0,True,"business, administration and law",law
8344,ICT software specifications,0.298851,0.0,True,information and communication technologies (icts),information and communication technologies (icts)
8783,teamwork principles,0.264368,0.0,True,generic programmes and qualifications,personal skills and development
2476,speak different languages,0.252874,0.0,True,"communication, collaboration and creativity",using more than one language
4966,oversee quality control,0.252874,0.0,True,attitudes,manage quality
7761,meet deadlines,0.241379,0.0,True,attitudes,meet commitments
4781,technical drawings,0.229885,0.0,True,"engineering, manufacturing and construction",architecture and construction
9466,use CAD software,0.183908,0.0,True,working with computers,"using digital tools for collaboration, content creation and problem solving"
3997,collect samples for analysis,0.172414,0.0,True,handling and moving,transforming and blending materials
7981,electronics,0.149425,0.0,True,"engineering, manufacturing and construction",engineering and engineering trades
2979,manufacturing processes,0.149425,0.0,True,"engineering, manufacturing and construction",manufacturing and processing
4255,maintain equipment,0.137931,0.0,True,working with machinery and specialised equipment,working with machinery and specialised equipment
5594,physics,0.126437,0.0,False,"natural sciences, mathematics and statistics",physical sciences
10851,chemistry,0.126437,0.0,False,"natural sciences, mathematics and statistics",physical sciences
7882,biology,0.103448,0.0,True,"natural sciences, mathematics and statistics",biological and related sciences
10570,electricity,0.103448,0.0,True,"engineering, manufacturing and construction",engineering and engineering trades
12571,mechanics,0.091954,0.0,True,"engineering, manufacturing and construction",engineering and engineering trades
8306,mechanical engineering,0.08046,0.0,False,"engineering, manufacturing and construction",engineering and engineering trades
6526,monitor automated machines,0.068966,0.0,False,working with machinery and specialised equipment,working with machinery and specialised equipment
8630,CAD software,0.068966,0.0,False,information and communication technologies (icts),information and communication technologies (icts)
8775,multimedia systems,0.068966,0.0,False,arts and humanities,arts
8425,human anatomy,0.068966,0.0,False,health and welfare,health
1534,provide first aid,0.057471,0.0,False,assisting and caring,providing health care or medical treatments
4601,pollution legislation,0.045977,0.0,False,"business, administration and law",law
11452,set up the controller of a machine,0.034483,0.0,False,working with computers,using digital tools to control machinery
4028,design principles,0.034483,0.0,False,arts and humanities,arts
3319,electrical engineering,0.011494,0.0,False,"engineering, manufacturing and construction",engineering and engineering trades
