id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
776,Occupation,http://data.europa.eu/esco/occupation/40517ed4-2769-4283-a15b-4b0d939bd2d3,production supervisor,"food quality control operator
consumer goods production controller
consumer goods production foreman
consumer goods production forewoman
food manufacturing supervisor
production team leader
production forewoman
production process supervisor
consumer goods production overseer
production controller
production plant supervisor
consumer goods production supervisor
consumer goods manufacturing supervisor
manufacturing supervisor
quality control operator
production line supervisor
production quality supervisor
manufacturing supervisor, food
consumer goods production quality supervisor
manufacturing supervisor, consumer goods
production schedule supervisor
food production supervisor
production overseer
consumer goods quality control operator
production foreman
production machine supervisor","Production supervisors coordinate, plan and direct manufacturing and production processes. They are responsible for reviewing production schedules or orders as well as dealing with staff in these production areas.",3122,3,31,312,3122
777,Occupation,http://data.europa.eu/esco/occupation/40b77b1b-6f9c-4d25-8b08-8b3cb0aaf7e7,explosives engineer,"ordnance engineer
munitions engineer
blasting engineer",Explosives engineers design drilling patterns and determine the amount of explosives required. They organise and supervise controlled blasts and report and investigate misfires. They manage explosives magazines.,2146,2,21,214,2146
778,Occupation,http://data.europa.eu/esco/occupation/40da2fc6-8cb4-4cd3-8fe3-899715905070,body artist,"tattoo studio assistant
henna artist
tattooist
tattoo artist
body piercer
tattooer
tattoo studio attendant",Body artists decorate clients' skin temporarily or permanently. They use various techniques such as tattooing or piercing. Body artists follow clients' preferences in terms of tattoo's or piercing's design and body surface and apply it safely. They also advise on methods to avoid infection following the procedures on clients' bodies.,3435,3,34,343,3435
779,Occupation,http://data.europa.eu/esco/occupation/41535a7d-f2ed-4937-9b7e-3b14c8c755b3,bleacher operator,"paper bleacher specialist
bleach stock preparation specialist
bleacher specialist
pulp bleacher specialist
bleach stock preparation technician
pulp bleacher technician
bleach stock preparation operator
paper bleacher technician
bleacher technician
paper bleacher
pulp bleacher operator
paper bleacher operator","Bleacher operators tend a machine that bleaches wood pulp to serve in the production of white paper. Different bleaching techniques are used to complement the various pulping methods, and to obtain different grades of whiteness.",8171,8,81,817,8171
780,Occupation,http://data.europa.eu/esco/occupation/4163b31e-440b-4991-b5c3-48d0515250ef,network marketer,"marketing promotions manager
advertising manager
commercial network development manager
commercial marketing specialist
promotion strategy manager
multi-level marketer
network marketeer
network marketing specialist","Network marketers apply various marketing strategies, including ​network marketing strategies to sell products and convince new people to also join in and start selling these products. They use personal relations to attract customers and sell various types of products.",2431,2,24,243,2431
781,Occupation,http://data.europa.eu/esco/occupation/41a51397-089d-459d-9b7e-f1cdee5ad6bb,decorative painter,"pottery painter
decorative glass artist
traditional glass painter
interior decorative artist
decorative artist
glass painter
tole painter
ceramic painter
specialist decorator","Decorative painters design and create visual art on different kinds of surfaces such as pottery, casings, glass and fabric. They use diverse materials and a variety of techniques to produce decorative illustrations ranging from stenciling to free-hand drawing.",7316,7,73,731,7316
782,Occupation,http://data.europa.eu/esco/occupation/41a8e7c8-e1d8-4984-9b3c-dbbad1699f83,ceiling installer,"domestic ceiling fixer
domestic ceiling installer
industrial ceiling installer
ceiling fixer
ceiling tile fixer
commercial ceiling installer
commercial ceiling fixer
suspended ceiling installer
suspended ceiling fixer
ceiling tile installer","Ceiling installers install ceilings in buildings. They apply different techniques as the situation requires - for example when fire resistance is especially important, or when space is needed between the dropped ceiling and the next floor - or specialise in one.",7123,7,71,712,7123
783,Occupation,http://data.europa.eu/esco/occupation/41beead9-98ad-4c89-b6e0-a14149f4eeab,fuel station specialised seller,"retail forecourt specialised seller
fuel site salesperson
gas station salesperson
petrol site salesperson
retail fuel manager
petrol site specialised seller
gas station specialised seller
supermarket filling station salesperson
fuel retail specialised seller
garage specialised seller
petrol station salesperson
petrol station specialised seller
fuel site specialised seller
retail fuel forecourt specialised seller
garage salesperson
retail forecourt salesperson
retail fuel forecourt salesperson
fuel retail salesperson
supermarket filling station specialised seller","Fuel station specialised sellers sell fuel, ​lubricating and cooling products for motor vehicles and motorcycles in a fuel station.",5245,5,52,524,5245
784,Occupation,http://data.europa.eu/esco/occupation/41d4be58-3111-48b5-814a-83117983dd16,derrickhand,,"Derrickhands guide the positions and movements of drill pipes. They control the automated pipe-handling equipment. They are often responsible for the condition of drilling fluids, or ""mud"".",8113,8,81,811,8113
785,Occupation,http://data.europa.eu/esco/occupation/41d609a1-62df-4cec-ac71-6434e545a729,corrosion technician,"surface technician
pipeline corrosion control technician
corrosion supervisor
cathodic protection technician
corrosion monitoring technician
offshore corrosion technician
pipeline operations technician
corrosion control technician
surface coating technician","Corrosion technicians monitor the integrity from a pipeline and provide repairs to it if needed. They ensure that the pipelines are properly connected and are in line with the health and safety regulations. Corrosion technicians inspect cathodic protection systems and pipeline connection points for corrosion. They may also assist in the designing of pipelines, analyse soil and write reports on technical issues.",3112,3,31,311,3112
786,Occupation,http://data.europa.eu/esco/occupation/42381741-f3a7-4b26-b35c-da6fad9f1cfd,product development engineering technician,"product development scientist
product development engineer
product development conservation engineer
product development equipment engineer
product development test engineer
product development mechanical engineer
product development research engineer
product development  research engineer
product development consultant engineer
product development specialist
product development systems engineer
production test operator
product development automation engineer
product development electrical engineer","Product development engineering technicians improve efficiency of product development, set up equipment and develop and test solutions to solve technical problems. They work closely with engineers and technologists, inspect products, conduct tests and collect data.",3119,3,31,311,3119
