id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
1307,Occupation,http://data.europa.eu/esco/occupation/6db9eeae-aef5-4f56-913d-4650e4c720c6,correctional services manager,"chief prison officer
correctional institution director
senior superintendent jail
superintendent jail
prison governor
chief detention officer
superintendent of jail
senior superintendent of jail","Correctional services managers manage the operations of a correctional facility. They supervise personnel, develop and oversee correctional procedures, and ensure the operation is compliant with legal regulations. They perform administrative duties and facilitate cooperation with external institutions and staff providing aid to the facility.",1349,1,13,134,1349
1308,Occupation,http://data.europa.eu/esco/occupation/6dbca2aa-f83b-4567-a4e7-b9a21fb948bf,metal rolling mill operator,"steel rolling mill technician
rolling mill control operator
powder mill operator
metal rolling mill operative
metal rolling mill operator
grinder mill operative
hammer mill operator
grinder mill operator
hammer mill operative
metal rolling mill technician
powder mill operative
hammer mill technician
stopper grinder
steel mill operative",Metal rolling mill operators set up and tend metal rolling mills designed to form metal workpieces into their desired shape by passing them through one or several pairs of rolls in order to decrease the metal's thickness and to make it homogeneous. They also take into account the proper temperature for this rolling process.,8121,8,81,812,8121
1310,Occupation,http://data.europa.eu/esco/occupation/6e0e068b-cd5c-4400-8899-54056087fa14,optician,"contact lens optician
corrective lens dispenser
dispensing optician
optician expert
qualified optician
expert optician
contact lens specialist
spectacle dispensing optician","Opticians help to improve and correct an individual's vision according to prescriptions provided by a specialised doctor in ophthalmology or an optometrist. They fit spectacle lenses and frames, contact lenses, and other devices to the specifications of both the individual and the prescription. Opticians do not test patients vision nor write prescriptions for visual correction. Their scope of practice varies according to national regulations.",3254,3,32,325,3254
1312,Occupation,http://data.europa.eu/esco/occupation/6e11692c-fc72-4ef4-8bcf-6bd19a6b0ea3,carbonation operator,"sparkling machine operator
gasifier operator
drinks gasification processor
beverage carbonation worker",Carbonation operators perform the injection of carbonation into beverages.,8160,8,81,816,8160
1313,Occupation,http://data.europa.eu/esco/occupation/6e18b923-7c5f-42d7-8ff0-de8d8ba30dbf,vacuum forming machine operator,"thermoforming machine operator
thermoforming machine operative
thermo-forming machine setter
thermoforming operator
molder operator
plastic moulding machine tender
vacuum forming machine operative
vacuum molding machine operator
vacuum molding machine operative
thermo-forming machine worker
vacuum forming machine setter
vacuum former
vacuum forming machine tender
moulder operator
vacuum moulding machine operator
thermo-forming machine operative
plastic molding machine tender
vacuum moulding machine operative
plastic molding machine setter
vacuum forming machine worker
thermoforming operative
thermo-forming machine tender
thermoforming machine tender
vacuum forming machine operator
plastics production process worker
plastic moulding machine setter","Vacuum forming machine operators tend, control, and maintain machines that heat sheets of plastic before moving them around a mould, using vacuum-suction; when these sheets become cool, they are permanently set in the shape of the mould.",8142,8,81,814,8142
1314,Occupation,http://data.europa.eu/esco/occupation/6e1b1bd7-9eec-4f10-bce7-94a27d9023e8,admissions coordinator,"coordinator of admissions
student admissions officer
student admissions coordinator
admissions officer
coordinator of student admissions
admissions coordinator in education
university admissions coordinator
admissions coordinator in university
school admissions coordinator
college admissions coordinator","Admissions coordinators are in charge of the students' applications and admissions to a (private) school, college or university. They asses possible future students' qualifications and subsequently approve or deny their application, based on the regulations and desires set by the board of directors and the school administration. They also assist the accepted students in their enrollment in the programme and courses of their choice.",2359,2,23,235,2359
1316,Occupation,http://data.europa.eu/esco/occupation/6e36bf67-9df2-4d68-8f78-fca1d34acc0b,juvenile correctional officer,"correctional youth security officer
young offenders detention officer
youth detention counselor
youth correctional officer
juvenile corrections officer
detention centre youth worker
youth detention worker
detention officer
young offenders officer
juvenile detention officer","Juvenile correctional officers monitor and provide security to juvenile offenders. They ensure the safety of the facility compliant with rules and regulations, compile reports on the daily activities as well as in the case of incidents, and report unusual activity. They also supervise rehabilitation procedures of the offenders.",5413,5,54,541,5413
1317,Occupation,http://data.europa.eu/esco/occupation/6e591f17-65c1-4a24-af2a-ca7862d4625e,technical sales representative in electronic and telecommunications equipment,"electronic and telecommunications equipment  field saleswoman
senior technical sales engineer in electronic and telecommunications equipment
graduate technical sales representative in electronic and telecommunications equipment
electronic and telecommunications equipment outside technical sales representative
electronic and telecommunications equipment  inside technical sales representative
trainee technical sales engineer in electronic and telecommunications equipment
electronic and telecommunications equipment field salesman
electronic and telecommunications equipment field salesperson
graduate technical sales engineer in electronic and telecommunications equipment
trainee technical sales representative in electronic and telecommunications equipment
assistant technical sales representative in electronic and telecommunications equipment
assistant technical sales engineer in electronic and telecommunications equipment
electronic and telecommunications equipment technical field sales representative
senior technical sales representative in electronic and telecommunications equipment",Technical sales representatives in electronic and telecommunications equipment act for a business to sell its merchandise while providing technical insight for customers.,2434,2,24,243,2434
1318,Occupation,http://data.europa.eu/esco/occupation/6e5ceba0-df96-465f-adb4-2e06ae715d43,numerical tool and process control programmer,"numerical tool maker
numerical tool setting operator
numerical process control tool setting operator
numerical tool machine set up operator
numerical process control  set up operator
numerical tool setter
numerical tool l programme setter
numerical tool programmer
numerical process control supervisor
numerical process control operator
numerical tool machine operator
numerical process control programmer","Numerical tool and process control programmers develop computer programs to control automatic machines and equipment involved in manufacturing processes. They analyse blueprints and job orders, conduct computer simulations and trial runs.",2514,2,25,251,2514
1319,Occupation,http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,office manager,"general office administrator
office coordinator
administrative supervisor
office supervisor
administrative manager
administrative services manager","\
Office managers oversee the administrative work that clerical workers are commissioned to perform in various types of organisations or associations. They perform micromanagement and maintain a close view of administrative processes such as such as controlling correspondence, designing filing systems, reviewing and approving supply requisitions, assigning and monitoring clerical functions. They report to managers within the same department or to general managers in companies, depending on their size.",3341,3,33,334,3341
1321,Occupation,http://data.europa.eu/esco/occupation/6e6e44ba-d9f0-403b-93d4-a8d4bd67787a,night auditor,"night time customer auditor
night customer care manager
overnight customer care manager
overnight auditor",Night auditors oversee night customer care in hospitality establishment and perform a wide variety of activities from front desk to bookkeeping.,4226,4,42,422,4226
1322,Occupation,http://data.europa.eu/esco/occupation/6e785f05-969e-4940-aedb-d0f896bb0230,aircraft dispatcher,"airline dispatcher
airplane dispatcher
helicopter dispatcher
aeroplane dispatcher
dispatcher of aircrafts
flight information expediter
aircraft information expediter
flight dispatcher","Aircraft dispatchers authorise, regulate, and control commercial airline flights according to governmental and company regulations. They expedite and ensure flight flow by preparing logs of flights, delays, cancellations, and changes in schedules or flight plans.",4323,4,43,432,4323
1325,Occupation,http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31,ICT research consultant,"ICT research advisor
IT research consultant
IT research advisor
ICT research consultants
ICT research specialist
IT research specialist","ICT research consultants perform targeted ICT research and provide a final report to the client. They also use ICT tools to design questionnaires for surveys, analyse the results, write reports, present the results and make recommendations based on the research findings.",2511,2,25,251,2511
1329,Occupation,http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,sewerage network operative,"sewerage network repair operative
sewerage network clearing  operative
wastewater infrastructure operator
wastewater infrastructure operative
wastewater system operative
sewerage network operator
wastewater treatment works operative
wastewater distribution equipment operative
wastewater systems operative
wastewater network operative
sewerage system maintenance operative
sewerage network maintenance operative
sewerage network inspection operative","Sewerage network operatives maintain sewerage systems which remove and transport wastewater and sewerage. They inspect pipes, pumping stations, and mains, looking for leaks or other faults, and repair any problems. They clear blockages, and perform maintenance duties, using network maps and specialised software.",7126,7,71,712,7126
1330,Occupation,http://data.europa.eu/esco/occupation/6f7c1e84-8162-4c20-a575-b57ff624eef5,taxi driver,"driver of taxi
private hire driver
private driver
cab driver
chauffeur
minicab driver","Taxi drivers operate a licensed private passenger transportation vehicle, looking after customers, taking fares and managing vehicle servicing.",8322,8,83,832,8322
1331,Occupation,http://data.europa.eu/esco/occupation/6f8f1da1-9160-4b9f-ba30-e3396d3b2f92,recreation model maker,,"Recreation model makers design and construct recreation scale models from various materials such as plastic, wood, wax and metals, mostly by hand.",7522,7,75,752,7522
1332,Occupation,http://data.europa.eu/esco/occupation/6f9398cc-c4cc-415e-a757-fd855f55fda2,nonwoven staple machine operator,"non woven fabric machine operator
non woven staple machinist
non-woven staple processing machine operator
non-woven fabric machine operator
non-woven worker
non woven worker
producer of felts
non woven staple processing machine operator
non-woven staple machinist
nonwoven staple machine operators",Nonwoven staple machine operators perform physical nonwoven processing operations.,8159,8,81,815,8159
1336,Occupation,http://data.europa.eu/esco/occupation/6fe645b0-463a-445d-ab8f-c0a5132beb68,fruit and vegetable preserver,"fruit and veg preservation operative
fruit and vegetable preservation operative
fruit and vegetable preservation operator
fruit and veg preservation operator","Fruit and vegetable preservers tend machines to prepare and preserve fruit and vegetable products. They aim to keep preserved perishable foods in a stable form. Thus, they perform duties such as freezing, preserving, packing after sorting, grading, washing, peeling, trimming and slicing agricultural products.",7514,7,75,751,7514
1338,Occupation,http://data.europa.eu/esco/occupation/6fefa90d-9a71-49c6-be92-52397e9795e6,odds compiler,"risk trader
odds trader
odds manager
football odds compiler
horse racing odds compiler
betting expert
sports odds compiler
odds expert
sports trader","Odds compilers compile the odds in gambling. They are employed by a bookmaker, betting exchange, lotteries and digital/on-line as well as casinos who sets the odds for events (such as sporting outcomes) for customers to place bets on. Apart from pricing markets, they also engage in any activity regarding the trading aspects of gambling, such as monitoring customer accounts and the profitability of their operations. An odds compiler may be required to monitor the financial position the bookmaker is in and adjust their position (and odds) accordingly. They may also be consulted as to whether to accept a bet or not.",4212,4,42,421,4212
1339,Occupation,http://data.europa.eu/esco/occupation/7005c266-d1a9-42ac-8c36-b42d5d755463,sterile services technician,disinfection assistant,"Sterile services technicians ensure decontamination of medical devices in compliance with strict hygienic procedures. They dismantle and re-assemble sophisticated medical equipment through sterilising, cleaning, and repackaging it for further usage, under supervision, following the orders of the doctor of medicine or other qualified medical personnel.",5329,5,53,532,5329
1340,Occupation,http://data.europa.eu/esco/occupation/70182f44-e444-4bf3-940f-0c054c1d5917,"textile, leather and footwear researcher","textile, leather and footwear research worker
textile, leather technologist
textile and clothing researcher
textile, leather and footwear research analyst
textile and leather researcher
clothing and apparel researcher","Textile, leather and footwear researchers combine knowledge of material sciences, chemistry, physics, process technologies, management, and engineering to contribute to future innovations within the fields of textile, wearing apparel, leather, and footwear. They collaborate in multidisciplinary projects in order to combine findings from a diverse array of science fields for product development.",2149,2,21,214,2149
1341,Occupation,http://data.europa.eu/esco/occupation/701f9161-72e4-4ff3-a9e8-8e6352664ef0,cattle pedicure,"cattle pedicure technicians
cattle pedicure specialist
cattle hoof trimmer","Cattle pedicures are specialists in taking care of hooves of cattle, in compliance with any regulatory requirements by the national legal authority.  ",5164,5,51,516,5164
1343,Occupation,http://data.europa.eu/esco/occupation/706e8b26-befb-429b-b71d-f72fad1bae12,blanching operator,"blancher
blanching process worker
blanching operative
blanching worker","Blanching operators remove outer coverings or skins from almonds and nuts in general. They cut leaves and impurities of raw material and control the flow of nuts, seeds, and/or leaves in the process. They use pressure and temperature to blanch the raw material if necessary.",8160,8,81,816,8160
1344,Occupation,http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3,data quality specialist,"data quality specialists
data quality expert
data integrity officer
data quality officer
data integrity specialist","Data quality specialists review organisation's data for accuracy, recommend enhancements to record systems and data acquisition processes and assess referential and historical integrity of data. They also develop documents and maintain data quality goals and standards and oversee an organisation's data privacy policy and monitor compliance of data flows against data quality standards.",2519,2,25,251,2519
1345,Occupation,http://data.europa.eu/esco/occupation/709170ae-2b9a-4e7a-8201-260da7211898,fish canning operator,"fish canning operative
fish canner","Fish canning operators brine, cook and package fish. They sterilise fish canning lines and introduce fishes in tanks once heads and visceras have been removed from the body. They tend cooking stoves to preheat the fish, and fill the cans either manually or mechanically with fish, olive oil or other products.",8160,8,81,816,8160
1347,Occupation,http://data.europa.eu/esco/occupation/7109cdfd-1618-43b6-8317-8dc90fa583e6,wood fuel pelletiser,"wood pelletiser worker
wood pellet machine worker
wood pellet machine operator
wood pelletiser technician
wood pellet machine technician
wood pelletiser operator
wood pelletiser
wood pellet machine specialist
wood pelletiser specialist","Wood fuel pelletisers operate a hammer mill to turn wood waste products into pellets for use as fuel. The milled product is afterward pressed through a die, producing the standardised shape and size of a pellet.",8172,8,81,817,8172
1348,Occupation,http://data.europa.eu/esco/occupation/7153a12d-85e0-4123-87e9-46bb1a2dc929,ground steward/ground stewardess,"passenger service supervisor
ground attendant supervisor
passenger services supervisor
ground attendant
passenger services agent
meet and assist agent
ground steward
passenger service attendant
ground stewardess",Ground stewards and ground stewardesses assist rail passengers before they board. They check in passengers and also perform customer service duties such as booking train tickets and helping passengers to apply for refunds after a delay or cancellation.,4221,4,42,422,4221
1349,Occupation,http://data.europa.eu/esco/occupation/715b902f-b1b6-4366-afc6-ddb8ab715229,agricultural inspector,"agricultural auditor
farm inspector
farm monitor
agricultural production inspector
agriculture assessor
agricultural examiner
agricultural assessor
agricultural monitor
agriculture auditor
agriculture monitor
farm auditor
agriculture inspector
farm assessor","Agricultural inspectors monitor agricultural operations in farms and other agricultural facilities. They inspect activities such as health and safety measures, costs and production processes to ensure that workers and their activities comply with proper legislation and standards. Agricultural inspectors also analyse and report on their findings.",3359,3,33,335,3359
1350,Occupation,http://data.europa.eu/esco/occupation/7180a7be-68cd-4636-8c12-706722ad8862,photographic developer,"photography lab technician
photograph developer
photography developer
photo developer
photograph laboratory technician
photo retoucher
photograph printer
photograph lab technician
photo lab technician
photography laboratory technician
photo laboratory technician","Photographic developers use chemicals, instruments, and darkroom photographic techniques in specialised rooms in order to develop photographic films into visible images.",8132,8,81,813,8132
1351,Occupation,http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a,assistant video and motion picture director,"director's right hand man
director's right-hand person
assistant director
second assistant director
assistant motion picture director
assistant video director
first assistant director
director's right hand woman
third assistant director
director's right-hand man
director's right-hand woman
director's right hand person","Assistant video and motion picture directors are responsible for the organisation, scheduling and planning of the cast, crew and activities on a set. They assist the video and motion picture directors, maintain budgets and ensure that all production activities go according to schedule.",3435,3,34,343,3435
1353,Occupation,http://data.europa.eu/esco/occupation/71a98a24-e02b-4ba6-b4df-6556d7ae98cc,paper stationery machine operator,"paper stationery machine technician
paper stationery machinist
paper puncher specialist
paper products machine technician
paper creaser operator
paper products machine operator
paper stationery machine operative
paper perforator technician
paper creaser specialist
paper creaser technician
paper puncher technician
paper perforator operator
paper stationery machine specialist
paper perforator specialist
paper products machine specialist
paper stationery machine worker
paper puncher operator","Paper stationery machine operators work with machines that perform one or more operations on paper to make it suitable for specific markets, such as punching holes, perforating, creasing, and collating with a carbon coated sheet.",8171,8,81,817,8171
1357,Occupation,http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,general practitioner,,"General practitioners promote health, prevent, identify ill health, diagnose and treat diseases and promote recovery of physical and mental illness and health disorders of all kinds for all persons regardless of their age, sex or type of health problem.",2211,2,22,221,2211
1359,Occupation,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,city councillor,"local government councillor
local councillor
councillor
county councillor
elected representative
cabinet member
town councillor","City councillors represent residents of a city in the city's council and perform local legislative duties. They examine the concerns of the residents and respond to them in an appropriate manner, and represent their political party's policies and programs in the city council as well. They communicate with governmental officials to ensure the city and its agenda are represented and supervise all operations which fall under the city council's responsibility.",1111,1,11,111,1111
1360,Occupation,http://data.europa.eu/esco/occupation/7235d075-ecf6-42ba-8a60-d7e79bbce152,fruit-press operator,"fruit press worker
fruit presser
fruit squeezer
fruit press operative","Fruit-press operators tend power presses to extract juice from fruits. For the purpose, they spread fruit evenly in cloth before tending the press and keep filter bags between sections in the machines ready for the extraction process. They are in charge of removing filter bags or pull cart from press and dump fruit pulp residue into containers.",8160,8,81,816,8160
1361,Occupation,http://data.europa.eu/esco/occupation/72381086-cb6e-455e-a40b-ccb26550aab6,power production plant operator,"electric power station operative
power plant operator
electricity generation plant worker
electricity generating plant worker
electric power station operator
electric power station worker
biomass plant operator
electricity generation operator
wind plant operator
power station worker
electricity generation worker
electricity generation operative
electricity generation plant operator
power station operator
power station operative worker
electricity generating plant operative
generating station operator","Power production plant operators maintain and operate the equipment in power stations and other energy production plants. They repair faults, operate machinery directly or from a control room, and handle materials related to electricity production in compliance with safety and environmental procedures. They facilitate interaction between electrical energy facilities, ensuring that distribution occurs safely.",3131,3,31,313,3131
1362,Occupation,http://data.europa.eu/esco/occupation/72413d91-f212-4ad6-bf95-8b78a37c041a,hair removal technician,"depilation specialist
hair removal specialist
wax depilation specialist
beauty treatment specialist
body waxing technician
electrolysis technician
laser hair removal specialist
laser hair removal technician
epilation specialist","Hair removal technicians provide cosmetic services to their clients by removing unwanted hair on various body parts. They can use different techniques for temporary hair removal, such as epilation and depilation techniques, or permanent hair removal methods, such as electrolysis or intense pulsed light.",5142,5,51,514,5142
1363,Occupation,http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba,client relations manager,"consumer relations manager
customer service representative
customer service manager
customer service executive
client service manager
client manager
client service representative
client relationship manager","
Client relations managers act as the middle person between a company and its customers. They ensure that the customers are satisfied by providing them with guidance and explanation on their accounts and services received by the company. They also have possible other tasks such as developing plans or delivering proposals.",2431,2,24,243,2431
1364,Occupation,http://data.europa.eu/esco/occupation/7259dc48-004a-4ceb-aa4e-5bbd548c2397,heating engineer,"oil fired heating inspector
solid-fuel fired heating inspector
coal fired heating inspector
HVAC heating mechanic
electrical heating engineer
solid fuel heating inspector
coke fired heating inspector
HVAC inspector
heating technician","Heating engineers install and maintain gas, electric, oil, solid-fuel and multiple fuel heating and ventilation equipment as stand-alone heating and ventilation systems or build into machinery and transport equipment. They follow instructions and blueprints, perform maintance on systems, perform safety checks and repair the systems.",7126,7,71,712,7126
1365,Occupation,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,mathematician,"mathematics science researcher
logic scientist
mathematics scientist
logic research scientist
mathematics researcher
logic science researcher
mathematics scholar
logic researcher
mathematics research scientist
logician
logic scholar
mathematicians","Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",2120,2,21,212,2120
1366,Occupation,http://data.europa.eu/esco/occupation/7284ccbf-e2fd-4e2f-8bbf-bc54eab610d5,personal trust officer,"personal trust officers
personal trust manager
personal trust supervisor
trustee officer","Personal trust officers monitor and administer personal trusts. They interpret trust and testamentary documentation accordingly, interact with financial advisors to define the investment goal for the achievement of trust objectives, coordinate the purchase and sale of securities with account executives and review clients' accounts regularly.",2412,2,24,241,2412
1367,Occupation,http://data.europa.eu/esco/occupation/728b9e5b-3da4-4dbd-ac36-614ebdb6c8c0,froth flotation deinking operator,"froth flotation deinking specialist
froth flotation deinking tank specialist
froth flotation deinking tank worker
froth flotation deinking tank technician
froth flotation deinking technician
froth flotation deinking tank operator
froth flotation deinking worker","Froth flotation deinking operators tend a tank that takes in recycled paper and mixes it with water. The solution is brought to a temperature around 50°C Celsius, after which air bubbles are blown into the tank. The air bubbles lift ink particles to the surface of the suspension and form a froth that is then removed.",8171,8,81,817,8171
1368,Occupation,http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58,emergency response coordinator,"emergency coordinator
emergency preparedness coordinator
aid worker
humanitarian aid worker
disaster preparedness coordinator
disaster coordinator
charity coordinator
emergency planning officer",Emergency response coordinators analyse potential risks such as disasters and emergencies for a community or institution and develop a strategy for reacting to these risks. They outline guidelines for the response to an emergency in order to decrease the effects. They educate the parties at risk on these guidelines. They also test response plans and ensure that the necessary supplies and equipments are in place in compliance with health and safety regulations.,2263,2,22,226,2263
1370,Occupation,http://data.europa.eu/esco/occupation/72bcb223-da77-4ed5-a03a-796fd5ece728,visual arts teacher,"educator in visual arts
specialist visual arts teacher
instructor of arts and crafts
sculpture teacher
instructor of visual arts
arts and crafts instructor
visual arts educator
arts and crafts teacher
visual arts instructor
painting teacher
teacher of visual arts
specialist teacher in visual arts","Visual arts teachers instruct students in various styles of visual arts, such as drawing, painting, and sculpting, in a recreational context. They provide students with an overview of art history, but primarily utilise a practice-based approach in their courses, in which they assist students to experiment with and master different artistic techniques, and encourage them to develop their own style.",2355,2,23,235,2355
1371,Occupation,http://data.europa.eu/esco/occupation/72d03aad-2003-404e-ae71-a37206e3566b,leather goods artisanal worker,"luxury leather artisan
leather articles artisanal worker
leather craft worker
leatherwear artisanal worker
leather repair worker
leather craftsman
bespoke leather craftsman
leather craftswoman
bespoke leather craftswoman
leather artisan
leather accessories artisanal worker","Leather goods artisanal workers manufacture leather goods or parts of leather goods by hand according to the specifications of the customer or their own design. They do repairs of leather goods such as shoes, bags and gloves.",7318,7,73,731,7318
1374,Occupation,http://data.europa.eu/esco/occupation/72f4abfe-5337-49be-b9b8-32096fc2ca1f,instrument technician,"guitar technician
bass technician
senior instrument technician
road crew member
piano technician
roadie","Instrument technicians assist and support musicians before, during and after the performance to ensure the instruments and the connected equipment, the backline, are setup properly. They maintain, check, tune and repair instruments and assist with quick changes. 
 ",7312,7,73,731,7312
1375,Occupation,http://data.europa.eu/esco/occupation/7309ab2d-e2ba-4ccb-b658-6b0a8bd8c4eb,malt kiln operator,"malt kiln worker
malt kiln operative
malt kiln specialist
malt worker",Malt kiln operators tend kiln machines and equipment while supervising that the grain roasting operation maintains in specified roasting parameters.,8160,8,81,816,8160
1376,Occupation,http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183,room attendant,"rooms person
housekeeping worker
chamber maid
housekeeper
chambermaid","Room attendants clean, tidy and restock guest rooms as well as other public areas as directed.",9112,9,91,911,9112
1378,Occupation,http://data.europa.eu/esco/occupation/7324e9f5-0f94-497e-af2f-42142e939a94,embroiderer,"embroidery worker
embroidery puncher
embroidery finisher
embroidery digitiser
embroidery operator
hand decorator","Embroiderers puch designs and decorate textile surfaces by hand or by using an embroidery machine. They apply a range of traditional stitching techniques to produce intricate designs on clothing, accessories, and home decor items. Professional embroiderers combine traditional sewing skills with current software programs to design and construct embellishments on an item.",7533,7,75,753,7533
1379,Occupation,http://data.europa.eu/esco/occupation/73270b73-8c71-445f-a8d3-4647b1ae38d0,paper bag machine operator,"paper bag making machine operator
paper bag machine technician
paper bag constructing machine operator
paper bag manufacturing machine operator
paper bag machine worker
paper bag machine specialist
paper bag machinist","Paper bag machine operators tend a machine that takes in paper, folds it and glues it to produce paper bags of various sizes, shapes, and grades of strength.",8143,8,81,814,8143
1380,Occupation,http://data.europa.eu/esco/occupation/73357956-f607-4baa-9ce6-03beb9b39da2,sales processor,"order processor
order processing representative
sales order co-ordinator
e-commerce sales processor
sales order assistant
sales order processor
trainee order processor
order processing salesperson
order entry and transfer processor
order processing sales person
senior order processor
sales order administrator
graduate sales processor
graduate sales order processor
e-commerce sales order processor
order entry and transfer co-ordinator
senior sales processor","Sales processors handle sales, select channels of delivery, execute orders and inform clients about dispatching and procedures. They communicate with clients in order to address missing information and/or additional details.",5223,5,52,522,5223
1381,Occupation,http://data.europa.eu/esco/occupation/733d65ac-250b-45d7-ba3c-cc5f48e9e11d,laser marking machine operator,"laser engraving drill operator
laser engraving mill technician
laser marking machine operative
laser marking machine set-up operative
laser set up operative
CNC laser marking set-up technician
laser set up operator
laser engraving drill technician
laser engraving drill operative
laser engraver mill operator
laser engraving mill operative
laser marking operator
laser engraving drill set-up technician
laser marking machine set-up operator
laser engraving operator","Laser marking machine operators set up and tend laser marking or engraving machines designed to precisely carve a design in the surface of a metal workpiece by use of a moving controller and an engraving laser beam point attached to it that traces patterns on the metal workpiece's surface. They make adjustments to the machine in terms of laser beam intensity, direction and speed of movement. They also ensure the laser table, used to perform laser machine engravings on and guides the laser beam, is properly set up.",7223,7,72,722,7223
1383,Occupation,http://data.europa.eu/esco/occupation/737c1795-844b-43ad-95b2-1bf0e8c14ddf,steam plant operator,"steam plant safety operator
steam jet refrigeration operator
steam power plant maintenance operator
steam heating operator
steam power plant operator
steam boiler operator
steam plant maintenance operator
steam plant worker
steam power heating plant operator
steam plant operative
steam refrigeration operator","Steam plant operators operate and maintain mechanical equipment such as stationary engines and boilers to provide utilities for domestic or industrial use. They monitor proceedings to ensure compliance with safety regulations, and perform tests to ensure quality.",8182,8,81,818,8182
1386,Occupation,http://data.europa.eu/esco/occupation/73bcde7c-bc34-485d-a7af-7b94fc43f61b,precious stone cutter,"faceter
diamond cutter
lapidarist
jewelery fabricator
gemstone cutter
opal polisher
gem cutter
lapidary
gemcutter","Precious stone cutters use cutting machines and tools to cut or carve diamonds and other gemstones according to diagrams and patterns while considering different specifications. They are experts at fabricating jewellery such as rings, brooches, chains and bracelets from gemstones.",7313,7,73,731,7313
1388,Occupation,http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,senator,,"Senators perform legislative duties on a central government level, such as working on constitutional reforms, negotiating on bills of law, and settling conflicts between other governmental institutions.",1111,1,11,111,1111
1389,Occupation,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,research and development manager,"research and development supervisor
researcher
market research manager
product research development manager
research and development director
research and development associate","Research and development managers coordinate the efforts of scientists, academical researchers, product developers, and market researchers towards the creation of new products, the improvement of current ones or other research activities, including scientific research. They manage and plan research and development activities of an organisation, specify goals and budget requirements and manage the staff.",1223,1,12,122,1223
1390,Occupation,http://data.europa.eu/esco/occupation/73d3bee2-7c5e-4de2-8dd9-67241615dfd3,rubber goods assembler,"rubber goods production operative
rubber goods finisher
rubber goods production assembler
rubber goods finishing operator
rubber products assembler
rubber goods assembly worker","Rubber goods assemblers manufacture rubber products such as water bottles, swim fins, and rubber gloves. They fasten ferrules, buckles, and straps to rubber goods, and also wrap fabric tape around closures and ferrules.",8219,8,82,821,8219
1392,Occupation,http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,sewer construction worker,"waste water system construction worker
waste water infrastructure construction worker
sewage system worker
waste water pipelayer
sewage infrastructure construction worker
waste water system worker
sewage pipelayer
sewer pipe line construction supervisor
waste water pipe layer
sewer infrastructure construction worker
sewage system construction worker
sewer system construction worker
sewage pipe layer","Sewer construction workers install sewer pipes to transport wastewater out of structures and to a body of water or treatment facility. They dig trenches and insert the pipes, making sure they have correct angle and are connected watertigh. Sewer construction workers also construct other elements of sewage infrastructure, such as manholes, and maintain and repair existing systems.",7126,7,71,712,7126
1393,Occupation,http://data.europa.eu/esco/occupation/73e776fb-4d99-4031-bad4-7716f121155d,interior designer,"facility interior designer
interior & spacial designer
space planner & interior decorator
spatial design specialist
spatial design expert
interior design specialist
interior & spatial designer
designer of interiors
spatial designer
interior design expert
interior architectural designer
interior designer & planner
interior space planner
space planner
spacial designer
interiors designer","Interior designers design or renovate of internal spaces, including structural alterations, fixtures and fittings, lighting and colour schemes, furnishings. They combine the efficient and functional use of space with an understanding of aesthetics.",3432,3,34,343,3432
