id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
873,quick service restaurant team leader,5246,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,2.0,1.9835,3.7853,2.4261,11197.495575,0.526316,0.9525,0.671702,45,13,38,10,18,2,http://data.europa.eu/esco/occupation/4a1125ee-5728-4b1f-b655-7b8eb2e27660
875,surface grinding machine operator,8122,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,2.2128,4.3425,3.5772,22295.4,0.133333,0.5475,0.68884,172,108,172,108,97,64,http://data.europa.eu/esco/occupation/4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce
876,surface miner,8111,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,2.0,1.9195,4.8173,3.1056,28282.005769,0.076923,0.5325,0.701098,16,4,16,4,0,0,http://data.europa.eu/esco/occupation/4a215d87-8363-4db2-a661-3c0d816b2a70
878,healthcare institution manager,1342,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,5.0,6.077,7.1168,3.3849,32321.151899,0.625,0.45,0.410792,70,2,53,1,31,0,http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa
879,insulating tube winder,8142,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.1051,3.6867,3.8631,24469.8,0.210526,0.585,0.67959,187,83,186,83,22,5,http://data.europa.eu/esco/occupation/4a30b421-2fda-42d6-b7e1-1c31753f061d
880,materials engineer,2149,5,engineers & researchers,5.2,various engineers & architects,Lower risk,4.0,7.3071,6.2564,4.0772,35911.871608,0.55,0.4475,0.448748,63,22,58,21,23,7,http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81
881,tax compliance officer,3352,2,business & administration workers,2.3,"assistants, clerks & legal workers",High risk,3.0,4.5513,5.5082,4.7199,28056.733333,0.714286,0.565,0.401782,19,1,11,0,10,0,http://data.europa.eu/esco/occupation/4a39fddb-17e7-4431-be03-613edab8d1c8
884,plastic heat treatment equipment operator,8142,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,1.9059,2.8752,3.7888,24469.8,0.117647,0.605,0.730632,158,66,158,66,81,42,http://data.europa.eu/esco/occupation/4a5ceaae-0f05-4091-bdbf-59f250ce6374
886,vehicle technician,7231,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,2.6697,7.2262,5.2744,30451.150985,0.217391,0.53,0.644036,61,9,60,9,0,0,http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce
888,membership manager,2431,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,4.0,6.8261,6.3481,3.8265,38839.816377,0.9,0.3575,0.189077,85,6,72,6,3,0,http://data.europa.eu/esco/occupation/4ae470fc-bcf8-4704-abd5-e086ebb1552c
